date,process_name,total_cases,success_cases,failed_cases,sla_hours,actual_completion_hours,region,owner_team,success_rate,failure_rate,sla_breach
12/17/2025,Ads Review,104,96,8,24,47,EMEA,Ops Team C,0.923076923,0.076923077,Yes
12/17/2025,Content Moderation,114,81,33,48,22,AMER,Ops Team C,0.710526316,0.289473684,No
12/17/2025,Billing Ops,82,75,7,48,23,EMEA,Ops Team A,0.914634146,0.085365854,No
12/17/2025,User Support,178,131,47,24,18,EMEA,Ops Team B,0.735955056,0.264044944,No
12/18/2025,Ads Review,110,87,23,24,54,AMER,Ops Team C,0.790909091,0.209090909,Yes
12/18/2025,Content Moderation,178,157,21,48,17,APAC,Ops Team A,0.882022472,0.117977528,No
12/18/2025,Billing Ops,145,116,29,24,46,AMER,Ops Team A,0.8,0.2,Yes
12/18/2025,User Support,97,83,14,48,59,EMEA,Ops Team A,0.855670103,0.144329897,Yes
12/19/2025,Ads Review,121,84,37,24,30,EMEA,Ops Team B,0.694214876,0.305785124,Yes
12/19/2025,Content Moderation,91,73,18,48,23,EMEA,Ops Team C,0.802197802,0.197802198,No
12/19/2025,Billing Ops,149,141,8,24,23,EMEA,Ops Team B,0.946308725,0.053691275,No
12/19/2025,User Support,121,105,16,24,54,EMEA,Ops Team C,0.867768595,0.132231405,Yes
12/20/2025,Ads Review,181,174,7,24,51,EMEA,Ops Team A,0.961325967,0.038674033,Yes
12/20/2025,Content Moderation,193,145,48,48,16,APAC,Ops Team A,0.751295337,0.248704663,No
12/20/2025,Billing Ops,199,154,45,24,50,AMER,Ops Team A,0.773869347,0.226130653,Yes
12/20/2025,User Support,188,166,22,24,26,APAC,Ops Team C,0.882978723,0.117021277,Yes
12/21/2025,Ads Review,91,69,22,24,31,APAC,Ops Team A,0.758241758,0.241758242,Yes
12/21/2025,Content Moderation,108,80,28,24,39,AMER,Ops Team A,0.740740741,0.259259259,Yes
12/21/2025,Billing Ops,196,169,27,48,40,EMEA,Ops Team C,0.862244898,0.137755102,No
12/21/2025,User Support,196,159,37,24,27,AMER,Ops Team A,0.81122449,0.18877551,Yes
12/22/2025,Ads Review,146,113,33,24,25,AMER,Ops Team B,0.773972603,0.226027397,Yes
12/22/2025,Content Moderation,178,133,45,24,38,EMEA,Ops Team B,0.747191011,0.252808989,Yes
12/22/2025,Billing Ops,179,130,49,48,12,APAC,Ops Team C,0.726256983,0.273743017,No
12/22/2025,User Support,169,119,50,24,51,APAC,Ops Team A,0.704142012,0.295857988,Yes
12/23/2025,Ads Review,146,113,33,48,44,EMEA,Ops Team A,0.773972603,0.226027397,No
12/23/2025,Content Moderation,159,116,43,48,43,EMEA,Ops Team C,0.729559748,0.270440252,No
12/23/2025,Billing Ops,109,104,5,24,34,APAC,Ops Team C,0.95412844,0.04587156,Yes
12/23/2025,User Support,175,158,17,24,22,APAC,Ops Team C,0.902857143,0.097142857,No
12/24/2025,Ads Review,106,95,11,24,31,APAC,Ops Team A,0.896226415,0.103773585,Yes
12/24/2025,Content Moderation,92,77,15,24,28,APAC,Ops Team B,0.836956522,0.163043478,Yes
12/24/2025,Billing Ops,183,148,35,24,28,APAC,Ops Team B,0.808743169,0.191256831,Yes
12/24/2025,User Support,189,151,38,48,53,AMER,Ops Team A,0.798941799,0.201058201,Yes
12/25/2025,Ads Review,157,114,43,24,57,AMER,Ops Team A,0.72611465,0.27388535,Yes
12/25/2025,Content Moderation,113,95,18,24,54,EMEA,Ops Team B,0.840707965,0.159292035,Yes
12/25/2025,Billing Ops,191,190,1,48,59,APAC,Ops Team C,0.994764398,0.005235602,Yes
12/25/2025,User Support,118,113,5,48,55,AMER,Ops Team B,0.957627119,0.042372881,Yes
12/26/2025,Ads Review,170,165,5,48,47,EMEA,Ops Team B,0.970588235,0.029411765,No
12/26/2025,Content Moderation,154,114,40,24,16,APAC,Ops Team A,0.74025974,0.25974026,No
12/26/2025,Billing Ops,169,160,9,48,51,AMER,Ops Team B,0.946745562,0.053254438,Yes
12/26/2025,User Support,105,98,7,48,23,APAC,Ops Team B,0.933333333,0.066666667,No
12/27/2025,Ads Review,139,102,37,48,60,AMER,Ops Team B,0.73381295,0.26618705,Yes
12/27/2025,Content Moderation,139,132,7,24,51,EMEA,Ops Team C,0.949640288,0.050359712,Yes
12/27/2025,Billing Ops,90,77,13,48,38,EMEA,Ops Team C,0.855555556,0.144444444,No
12/27/2025,User Support,149,107,42,48,58,APAC,Ops Team A,0.718120805,0.281879195,Yes
12/28/2025,Ads Review,157,118,39,24,31,EMEA,Ops Team B,0.751592357,0.248407643,Yes
12/28/2025,Content Moderation,126,103,23,48,28,AMER,Ops Team B,0.817460317,0.182539683,No
12/28/2025,Billing Ops,192,158,34,24,33,AMER,Ops Team C,0.822916667,0.177083333,Yes
12/28/2025,User Support,149,105,44,24,44,EMEA,Ops Team A,0.704697987,0.295302013,Yes
12/29/2025,Ads Review,83,78,5,48,14,APAC,Ops Team C,0.939759036,0.060240964,No
12/29/2025,Content Moderation,95,90,5,24,58,APAC,Ops Team A,0.947368421,0.052631579,Yes
12/29/2025,Billing Ops,171,137,34,24,28,APAC,Ops Team A,0.801169591,0.198830409,Yes
12/29/2025,User Support,121,117,4,24,25,AMER,Ops Team C,0.966942149,0.033057851,Yes
12/30/2025,Ads Review,113,98,15,24,60,EMEA,Ops Team A,0.867256637,0.132743363,Yes
12/30/2025,Content Moderation,175,138,37,24,12,APAC,Ops Team C,0.788571429,0.211428571,No
12/30/2025,Billing Ops,155,151,4,48,45,EMEA,Ops Team C,0.974193548,0.025806452,No
12/30/2025,User Support,111,102,9,48,50,AMER,Ops Team A,0.918918919,0.081081081,Yes
